iter	Passed	Remaining
635	11679	6684
636	11696	6665
637	11712	6645
638	11730	6626
639	11747	6607
640	11764	6589
641	11780	6569
642	11797	6549
643	11813	6530
644	11831	6511
645	11848	6492
646	11865	6473
647	11881	6454
648	11898	6434
649	11914	6415
650	11932	6397
651	11948	6377
652	11965	6358
653	11981	6338
654	11997	6319
655	12014	6300
656	12032	6281
657	12050	6263
658	12065	6243
659	12081	6223
660	12098	6204
661	12115	6185
662	12132	6167
663	12149	6147
664	12166	6128
665	12189	6113
666	12213	6097
667	12236	6081
668	12256	6063
669	12279	6047
670	12297	6029
671	12316	6011
672	12337	5994
673	12357	5977
674	12377	5959
675	12397	5941
676	12422	5926
677	12441	5908
678	12460	5890
679	12483	5874
680	12505	5857
681	12524	5840
682	12544	5822
683	12561	5803
684	12585	5787
685	12602	5768
686	12627	5753
687	12651	5737
688	12673	5720
689	12694	5703
690	12711	5684
691	12734	5668
692	12756	5651
693	12781	5635
694	12799	5616
695	12824	5601
696	12843	5583
697	12863	5565
698	12880	5546
699	12900	5528
700	12918	5510
701	12939	5492
702	12958	5474
703	12974	5455
704	12992	5436
705	13009	5417
706	13026	5398
707	13045	5380
708	13061	5361
709	13078	5341
710	13095	5322
711	13112	5303
712	13129	5284
713	13144	5265
714	13161	5246
715	13177	5226
716	13194	5207
717	13211	5188
718	13226	5169
719	13242	5149
720	13261	5131
721	13277	5112
722	13293	5093
723	13310	5074
724	13327	5055
725	13343	5035
726	13363	5018
727	13380	4999
728	13397	4980
729	13413	4961
730	13430	4942
731	13450	4924
732	13472	4907
733	13494	4890
734	13511	4871
735	13532	4853
736	13549	4835
737	13567	4816
738	13588	4799
739	13606	4780
740	13622	4761
741	13638	4742
742	13655	4723
743	13671	4704
744	13688	4685
745	13705	4666
746	13724	4648
747	13742	4629
748	13762	4612
749	13778	4592
750	13800	4575
751	13816	4556
752	13832	4537
753	13848	4518
754	13866	4499
755	13883	4480
756	13900	4461
757	13916	4442
758	13940	4426
759	13957	4407
760	13981	4390
761	14004	4373
762	14027	4357
763	14046	4339
764	14068	4321
765	14084	4302
766	14104	4284
767	14122	4266
768	14142	4248
769	14159	4229
770	14180	4211
771	14196	4192
772	14215	4174
773	14235	4156
774	14254	4138
775	14273	4120
776	14293	4102
777	14311	4083
778	14338	4067
779	14359	4050
780	14382	4033
781	14402	4014
782	14420	3996
783	14440	3978
784	14456	3959
785	14480	3942
786	14500	3924
787	14531	3909
788	14549	3890
789	14575	3874
790	14599	3857
791	14622	3840
792	14642	3822
793	14663	3804
794	14683	3786
795	14701	3767
796	14723	3750
797	14740	3731
798	14760	3713
799	14778	3694
800	14798	3676
801	14816	3657
802	14833	3639
803	14853	3620
804	14869	3602
805	14887	3583
806	14906	3565
807	14924	3546
808	14942	3527
809	14965	3510
810	14985	3492
811	15003	3473
812	15024	3455
813	15043	3437
814	15061	3418
815	15078	3400
816	15100	3382
817	15118	3363
818	15138	3345
819	15157	3327
820	15178	3309
821	15195	3290
822	15213	3272
823	15232	3253
824	15249	3234
825	15271	3216
826	15288	3198
827	15309	3180
828	15328	3161
829	15348	3143
830	15365	3124
831	15385	3106
832	15402	3087
833	15422	3069
834	15442	3051
835	15460	3032
836	15478	3014
837	15496	2995
838	15513	2977
839	15530	2958
840	15548	2939
841	15564	2920
842	15580	2901
843	15597	2882
844	15613	2863
845	15630	2845
846	15648	2826
847	15664	2807
848	15685	2789
849	15703	2771
850	15720	2752
851	15736	2733
852	15753	2714
853	15770	2696
854	15786	2677
855	15803	2658
856	15819	2639
857	15835	2620
858	15852	2602
859	15869	2583
860	15885	2564
861	15903	2546
862	15920	2527
863	15937	2508
864	15954	2490
865	15971	2471
866	15987	2452
867	16004	2433
868	16020	2414
869	16036	2396
870	16051	2377
871	16070	2358
872	16087	2340
873	16106	2322
874	16123	2303
875	16139	2284
876	16155	2265
877	16172	2247
878	16188	2228
879	16205	2209
880	16221	2191
881	16238	2172
882	16253	2153
883	16269	2134
884	16287	2116
885	16304	2097
886	16323	2079
887	16340	2060
888	16356	2042
889	16373	2023
890	16389	2005
891	16407	1986
892	16426	1968
893	16443	1949
894	16459	1931
895	16477	1912
896	16493	1893
897	16509	1875
898	16527	1856
899	16543	1838
900	16559	1819
901	16575	1800
902	16597	1782
903	16613	1764
904	16631	1745
905	16648	1727
906	16665	1708
907	16680	1690
908	16696	1671
